Name,Interests,Department
Rasmus Nielsen,statistical and computational aspects of evolutionary theory and genetics,Department of Integrative Biology~Department of Statistics
Ray R. Larson,Information Retrieval system design and evaluation~database management,School of Information
Rhonda Righter,modeling~optimization~stochastic systems~systems with uncertainty,Department of Industrial Engineering &amp; Operations Research
Richard A. Mathies,genomics~biophysical~bioanalytical~physical chemistry; laser spectroscopy~resonance Raman~excited-state reaction dynamics photoactive proteins~rhodopsins~microfabricated chemical biochemical analysis devices~forensics~infectious disease detection,Department of Chemistry
Richard E. Barlow,industrial engineering and operations~reliability theory~statistical data analysis~Bayesian probability modeling,Department of Industrial Engineering &amp; Operations Research
Richard J. Fateman,scientific programming environments; algebraic manipulation by computer (programs like Macsyma~Mathematica~Maple~Axiom~Reduce); distributed computing; analysis of algorithms; programming and measurement of large systems; design and implementation of p,Division of Computer Science/EECS
Richard J. Saykally,physical chemistry~surface science~analytical chemistry~materials solid state chemistry~laser spectroscopy methods~X-ray spectroscopy~molecular astrophysics~novel forms of matter~nonlinear optical molecular imaging(NMI)~water clusters,Department of Chemistry
Richard Karp,computational molecular biology~genomics~DNA molecules~structure of genetic regulatory networks~combinatorial and statsitical methods,Division of Computer Science/EECS
Richard Stanton,mortgage markets~prepayment modeling~valuation~hedging~term structure modeling valuation of derivative securities~application of non-parametric estimation techniques~pricing of derivatives,Haas School of Business
Robert Barde,immigration~Asian immigration~Chinese Exclusion~Angel Island~immigration statistics,Haas School of Business
Robert Harley,air pollution~atmospheric chemistry~motor vehicle emissions~ozone~sustainable transportation~air quality~emission inventory~photochemical air quality modeling~gasoline~diesel,Department of Civil and Environmental Engineering
Robert K. Brayton,computer-aided design for VLSI; computer-aided design of integrated circuits~computer systems,Division of Electrical Engineering/EECS
Robert L. Taylor,computational mechanics~mechanics of solids~finite element methods~finite element software,Department of Civil and Environmental Engineering
Robert M. Oliver,risk management~operations research~industrial engineering~prediction of rare events~default and fraud detection~credit risk scoring~analysis tools~computer software~acquisition and negotiation strategies,Department of Industrial Engineering &amp; Operations Research
Robert P. Goldman,literary theory~South and Southeast Asian studies~Sanskrit literature~Indian epic studies~and psychoanalytically oriented cultural studies,Department of South and Southeast Asian Studies
Robert Wilensky,computer science~information management~digital documents~robust linking~using natural language processing to improve information access~digital information infrastructure,Division of Computer Science/EECS
Roberto Horowitz,adaptive control~learning and nonlinear control~control of robot manipulators~computer mechatronics systems~micro-electromechanical systems (MEMS)~intelligent vehicle~highways systems,Department of Mechanical Engineering
Roger Purves,statistics~foundations of probability~measurability,Department of Statistics
Ronald C. Cohen,physical chemistry~water~climate~air pollution~atmospheric chemistry~environmental chemistry~analytical chemistry~ozone~nitrogen oxides~CO2~clouds,Department of Chemistry~Department of Earth and Planetary Science
Ronald Rael,3D printed buildings~additive manufacturing~earth architecture~mud~dirt~dust~U.S.-Mexico border wall~arid landscapes~ranching~acequias~alipne deserts~ceramics~rural architecture~ruralism~animation~digital modeling~furry buildings~unnatural materials~rasquachetecture,Department of Architecture~Department of Art Practice
Ronald W. Yeung,mathematical modeling~hydromechanics~naval architecture~numerical fluid mechanics~offshore mechanics~ocean processes~separated flows~wave-vorticity interaction~vortex-induced vibrations~stratified fluid flow~ocean energy~green ships~tidal energy~multi-hull flow physics~Helmholtz resonance~ship motion instabilities~tank resonance,Department of Mechanical Engineering
Ruzena Bajcsy,computer science~neuroscience~cognitive science~robotics~artificial intelligence~machine perception~image processing~artificial vision~medical image processing~information technology and humanities and social sciences,Division of Computer Science/EECS
S. Shankar Sastry,computer science~robotics~arial robots~cybersecurity~cyber defense~homeland defense~nonholonomic systems~control of hybrid systems~sensor networks~interactive visualization~robotic telesurgery~rapid prototyping,Division of Electrical Engineering/EECS
Samuel Lucas,research methods~demography~sociology~social stratification~sociology of education~and research statistics,Department of Sociology
Sandrine Dudoit,genomics~classification~statistical computing~biostatistics~cross-validation~density estimation~genetic mapping~high-throughput sequencing~loss-based estimation~microarray~model selection~multiple hypothesis testing~prediction~RNA-Seq,School of Public Health
Sanjay Govindjee,finite element analysis~Theoretical and computational solid mechanics~constitutive theory~micromechanics~polymer mechanics~elastomer modeling~thermomechanics~continuum mechanics~failure analysis,Department of Civil and Environmental Engineering
Sanjit Seshia,electronic design automation~theory~computer security~program analysis~dependable computing~computational logic~formal methods,Division of Computer Science/EECS~Division of Electrical Engineering/EECS
Sara McMains,geometric and solid modeling~general purpose computation on the GPU (GPGPU)~CAD/CAM~computational geometry~layered manufacturing~computer graphics and visualization~virtual prototyping~virtual reality,Department of Mechanical Engineering
Scott Moura,optimal control~PDE control~estimation~adaptive control~dynamic system modeling~energy management~battery management systems~vehicle-to-grid~smart grid,Department of Civil and Environmental Engineering
Scott Shenker,computer science~internet architecture~software-defined networking~datacenter computational paradigms~game theoretic approaches to resource allocation~large-scale distributed systems.,Division of Computer Science/EECS
Sean Gailmard,bureaucratic organizations~American political institutions~rational choice game theory~statistical modeling~laboratory experimentation in social science,Department of Political Science
Shaofan Li,structural mechanics~computational mechanics and computational physics~finite element methods and meshfree particle methods~atomistic simulation and multiscale simulations~nonlinear continuum mechanics~soft matter mechanics~wave propagations~Modeling and simulation of material failures~Nano-mechanics~bio-mechanics and bio-physics~Cellular mechanics~micromechanics &amp; composite materials,Department of Civil and Environmental Engineering
Sheldon M. Ross,financial engineering~simulations~stochastics~statistical analysis,Department of Industrial Engineering &amp; Operations Research
Sheldon Zedeck,statistics~organization~psychology~research methodology~industrial~social psychology~personnel~cross-cultural work values~decision-making research~work and family issues~the work values of Chinese employees,Department of Psychology
Sophia Rabe-Hesketh,biostatistics~educational statistics~latent variable models~multilevel models~generalized linear latent and mixed models~hierarchical models~longitudinal data~Item response models~structural equation models,Graduate School of Education
Stanley Klein,optometry~vision science~spatial vision modeling~psychophysical methods and vision test design~corneal topography and contact lens design~source localization of evoked potentials~fMRI~amblyopia,School of Optometry
Stanley Saitowitz,architecture~architecture and cooking~urbanism and computers,Department of Architecture
Steve Selvin,public health~biostatistics,School of Public Health
Steven E. Brenner,molecular biology~computational biology~evolutionary biology~bioengineering~structural genomics~computational genomics~cellular activity~cellular functions~personal genomics,Department of Bioengineering~Department of Molecular &amp; Cell Biology~Department of Plant and Microbial Biology
Stuart Dreyfus,neural networks~dynamic programming~limits of operations research modeling~cognitive ergonomics,Department of Industrial Engineering &amp; Operations Research
Stuart J. Russell,artificial intelligence~computational biology~algorithms~machine learning~real-time decision-making~probabilistic reasoning,Division of Computer Science/EECS
Sung-Hou Kim,computational genomics~Structural Biology~drug discovery~disease genomics,Department of Chemistry
Susan Irene Stone,school-based psycho-social services~school-effects~archival data analysis,School of Social Welfare
Susan L. Graham,computer science~programming systems~software engineering~software development environments,Division of Computer Science/EECS
Susan Marqusee,amino acids~determinants of protein structure and folding~biophysical~structural and computational techniques~translocation~protein synthesis,Department of Molecular &amp; Cell Biology
Tarek Zohdi,finite element methods~computational methods for advanced manufacturing~micro-structural/macro-property inverse problems involving optimization and design of new materials~modeling and simulation of high-strength fabric~modeling and simulation of particulate/granular flows~modeling and simulation of multiphase/composite electromagnetic media~modeling and simulation of the dynamics of swarms,Department of Mechanical Engineering
Teresa L. Head-Gordon,Computational chemistry~biophysics~bioengineering~biomolecules~materials~computational science,Department of Chemistry
Terry Marsh,statistics~capital markets~corporate finance~accounting~econometrics,Haas School of Business
Terry Regier,computational methods~language and thought~semantic universals,Department of Linguistics
Terry Speed,genomics~statistics~genetics and molecular biology~protein sequences,Department of Statistics
Thomas Courtade,information theory~data compression~communications~computer science,Division of Electrical Engineering/EECS
Thomas M. Devine,synthesis of nanomaterials~nuclear power~oil production~secondary batteries for electric vehicles~computer disk drives~and synthesis and characterization of metal oxide nanowires~corrosion resistance of materials,Department of Materials Science and Engineering
Tom Griffiths,machine learning~computational models of human cognition~Bayesian statistics~cultural evolution,Department of Psychology
Tony M. Keaveny,biomechanics of bone~orthopaedic biomechanics~design of artificial joints~osteoporosis~finite element modeling~clinical biomechanics,Department of Bioengineering~Department of Mechanical Engineering
Umesh Vazirani,quantum computation~hamiltonian complexity~analysis of algorithms,Division of Computer Science/EECS
Van P. Carey,mechanical engineering~non-equilibirum thermodynamics~statistical thermodynamics~microscale thermophysics~biothermodynamics~computer aided thermal design~thermodynamic analysis of green manufacturing,Department of Mechanical Engineering
"William A. Lester, Jr.",theoretical and physical chemistry~advances in basic theory~computational methods~study of molecular electronic structure~quantum Monte Carlo method~Born-Oppenheimer approximation,Department of Chemistry
William E. Dietrich,morphology~earth and planetary sciences~geomorphology~evolution of landscapes~geomorphic transport laws~landscape evolution modeling~high resolution laser altimetry~cosmogenic nuclide analysis,Department of Earth and Planetary Science
William M. Kahan,mathematics~computers~error analysis~numerical computations~convexity~large matrices~trajectory problems,Division of Computer Science/EECS
William Satariano,aging~public health~epidemiology~biostatistics~health and social behavior,School of Public Health
Yang Dan,neuronal circuits~mammalian visual system~electrophysiological~psychophysical and computational techniques~visual cortical circuits~visual neurons,Department of Molecular &amp; Cell Biology
Yehuda Kalay,virtual reality~new media~computer-aided design~design methods~colaborative design,Department of Architecture
Yoram Rubin,risk assessment~hydrogeology~contaminant transport~geostatistics,Department of Civil and Environmental Engineering
Yun S. Song,computational biology~population genomics~applied probability and statistics,Department of Statistics~Division of Computer Science/EECS
Yuval Peres,statistics~probability on graphs~percolation~random walks~Brownian motion~phase transitions~Hausdorff dimension~Markov chains,Department of Statistics
Zachary Pardos,Education Data Science~Learning Analytics~Big Data in Education~data mining~Data Privacy and Ethics~Computational Psychometrics~Digital Learning Environments~Cognitive Modeling~Bayesian Knowledge Tracing~Formative Assessment~Learning Maps~machine learning,Graduate School of Education~School of Information
