Name,Interests,Department
Elwyn R. Berlekamp,computer science~electrical engineering~mathematics~combinatorial game theory~algebraic coding theory,Department of Mathematics
Emilie Bergmann,early modern Spain~colonial Spanish America~Spanish literature~Sor Juana Ines de la Cruz~visual studies~gender and sexuality studies,Department of Spanish and Portuguese
Emily Gottreich,Middle Eastern Studies~Islamic urban studies~Jewish history~Morocco~North Africa~Sephardic Studies,Department of History~International and Area Studies
Emily Mackil,nan,Department of History
Emily Ozer,mental health~public health~health and social behavior~clinical and community psychology~adolescent development~school-based health promotion,School of Public Health
Emily V. Thornbury,Anglo-Saxon and medieval literature,Department of English
Emmanuel Saez,inequality~taxation~redistribution,Department of Economics
Enrico Moretti,labor economics~urban economics,Department of Economics
Enrique Iglesia,chemical engineering~catalytic materials~heterogeneous catalysis~chemical reaction engineering~methane and biomass coversion processes~refining processes~hydrogen generation~alkane activation deoxygenatiion and desulfurization catalysis~zeolites,Department of Chemical Engineering
Eoin Brodie,microbiology~biogeochemistry~environmental science~carbon cycle~soil science~rhizosphere~decomposition~redox~human microbiome~insect microbiome~molecular biology~bioinformatics~modeling,"Department of Environmental Science, Policy &amp; Management"
Eran Rabani,Theory of nanomaterials,Department of Chemistry
Eric B. Norman,nuclear astrophysics~experimental nuclear physics~homeland security~neutrinos,Department of Nuclear Engineering
Eric Brewer,internet systems~developing regions~sensor networks and security,Division of Computer Science/EECS
Eric Falci,20th-Century Irish and British literature~contemporary Irish and British poetry~poetry and music,Department of English
Eric Naiman,sexuality~history~comparative literature~Slavic language~ideological poetics~history of medicine~Soviet culture~the gothic novel,Department of Comparative Literature~Department of Slavic Languages and Literatures
Eric Neuscamman,Electronic Structure Theory~Quantum Chemistry,Department of Chemistry
Eric P. Rakowski,taxation~moral philosophy~distributive justice~health care~estates &amp; trusts,Boalt Hall School of Law
Eric Schickler,American politics~Congress~political parties~public opinion,College of Letters and Science
Eric Stover,human rights~war~International Criminal Law~Forensic Sciences~International Criminal Justice,Boalt Hall School of Law
Eric Talley,economic analysis of law~corporate law~securities regulation~law and financial markets,Boalt Hall School of Law
Erica Bree Rosenblum,evolutionary biology~global change biology~conservation biology~ecological genomics,"Environmental Science, Policy &amp; Management"
Erich S. Gruen,classics~Greek and Roman history~Jews in the Greco-Roman world,Department of Classics~Department of History
Erin Murphy-Graham,educational equity~cultural studies~gender equity~diversity~international education~alternative schooling~democratic education~ethnic issues,Graduate School of Education
Ernest Hook,public health~maternal and child health,School of Public Health
Ernest S. Kuh,computer-aided design for VLSI,Division of Electrical Engineering/EECS
Ernesto Dal Bo,applied microeconomic theory~political economy~corruption and influence~collective decision-making~coercion,Haas School of Business
Erwin Hahn,physics,Department of Physics
Estelle Tarica,Latin America~Mexico~race~nationalism~Spanish~mestizo~Indians~Andes~Bolivia~Peru~Holocaust~Quechua,Department of Spanish and Portuguese
Ethan A. Ligon,economics~insurance~agricultural contracts~risk sharing~intra-household allocation,Department of Agricultural &amp; Resource Economics
Ethan Namvar,portfolio management~financial engineering~risk management~Hedge Funds~quantitative finance~alternative investments~municipal bonds~credit default swaps,Haas School of Business
Ethan Shagan,British history~early modern European history~history of religion,Department of History
Eugene A. Hammel,kinship~social anthropology~stratification~statistical and formal analysis~computer applications~peasant society and culture~demography~Balkans,Department of Anthropology~Department of Demography
Eugene Chiang,planetary science~theoretical astrophysics~dynamics~planet formation~circumstellar disks,Department of Astronomy~Department of Earth and Planetary Science
Eugene Commins,physics~electric dipole moment of the electron~particle physics~low-energy atomic physics: atomic beams~laser spectroscopy~optical pumping~radio-frequency magnetic resonance~formerly atomic experiment,Department of Physics
Eugene E. Haller,semiconductor crystal growth~characterization of impurities and defects in semiconductors: infrared and microwave detectors~isotopically controlled semiconductors,Department of Materials Science and Engineering
Eugene Wong,robotics~database management systems; communications; control~&amp; biosystems; signal/image/video processing,Division of Computer Science/EECS
Eva Harris,public health~infectious diseases,School of Public Health
Eva Nogales,biochemistry~complex biological assemblies~structure and regulation of the cytoskeleton~microtubule dynamics~human transcriptional initiation machinery~biophysics,Department of Molecular &amp; Cell Biology
Evan R. Williams,spectroscopy~molecular structure and dynamics~analytical chemistry~biophysical chemistry~structure and reactivity of biomolecules and biomolecule/water interactions~mass spectrometry~separations~protein conformation~protein and DNA sequencing,Department of Chemistry
Evan Variano,fluid mechanics~turbulence~wetlands~imaging~plankton~sediment transport,College of Engineering
Eve E. Sweetser,subjectivity~syntax~semantics~cognitive linguistics~historical linguistics~Celtic languages~speech act theory~semantic change~grammaticalization~gesture~metaphor~iconicity~viewpoint~construction grammar~semantics of grammatical constructions,Department of Linguistics
Evelyn Nakano Glenn,labor~citizenship~undocumented students~caring work~settler colonialism~skin color bias,Department of Ethnic Studies~Department of Gender and Women&#039;s Studies
Eyvind Wichmann,physics,Department of Physics
F. Alberto Grunbaum,medical imaging~x-ray crystallography~imaging of structures of biological interest~classical and quantum random walks~matrix valued orthogonal polynomials~quasi birth-and-death processes,Department of Mathematics
F. Dean Toste,organometallic chemistry~organic~development of new synthetic methods~enantioselective catalysts~strategies for the synthesis of natural products~synthesis of complex molecules~formation of carbon-carbon and carbon-heteroatom bonds~olefins,Department of Chemistry
Fai Ma,dynamical systems with inherent uncertainties~vibration~stochastic simulation,Department of Mechanical Engineering
Fei Xu,conceptual development~developmental psychology~cognitive development~language development~social cognition in infants and children~learning in infants and young children~statistical learning and statistical inference~psychology and philosophy~computational models of cognitive development,Department of Psychology
Felix F. Wu,power systems; communication networks planning~electronics,Division of Electrical Engineering/EECS
Felix Fischer,Organic and Inorganic Materials Chemistry~Supramolecular Chemistry~Polymer Chemistry~Molecular Electronics,Department of Chemistry
Feng Wang,condensed matter physics~photonics~nanoscience,Department of Physics
Fenyong Liu,public health~infectious diseases,School of Public Health
Fernando E. Viteri,plant biology~health and nutrition~nutritional sciences &amp; toxicology,Department of Nutritional Sciences &amp; Toxicology
Filip C. Filippou,nonlinear analysis of structures~finite element analysis~seismic response simulation~seismic evaluation of structures by computer analysis,Department of Civil and Environmental Engineering
Fiona M. Doyle,electrochemistry~mineral processing~solution processing of materials~interfacial chemistry~extractive metallurgy~remediation of abandoned mines,Department of Materials Science and Engineering
Florian Zettelmeyer,distribution channels~marketing implications of consumer search~uncertainty implications of the internet~electronic selling formats~behavioral economics~consumer choice,Haas School of Business
Forrest Mozer,physics,Department of Physics
Fotini Chow,environmental fluid mechanics~large-eddy simulation~turbulence modeling~atmospheric boundary layer flow~flow over complex terrain~urban dispersion modeling~coupled land-atmosphere modeling~wind energy applications,Department of Civil and Environmental Engineering
Frances Hellman,condensed matter physics and materials science,Department of Physics
Frances Van Loo,institute of business and economic research~UC Berkeley,Haas School of Business
Francesca Rochberg,history of science~ancient near east~cuneiform studies,Department of Near Eastern Studies
Francesco Borrelli,automotive control systems~distributed and robust constrained control~manufacturing control systems~energy efficient buildings~model predictive control.,Department of Mechanical Engineering
Francine Masiello,gender theory~culture~globalization~comparative literature~Spanish~Latin American literature of the 19th and 20th centuries~comparative North and South literatures,Department of Comparative Literature~Department of Spanish and Portuguese
Francisco Armero,computational mechanics~nonlinear continuum mechanics,Department of Civil and Environmental Engineering
Frank Bezner,Medieval Latin literature; Medieval literary culture; Neo-Latin; Intellectual history,Department of Classics~Department of Comparative Literature
Frank C Worrell,development~education~cognition~academic talent development~adolescence~African American~at-risk youth~English-speaking Caribbean~ethnic identity~gifted~psychosocial development~racial identity~school psychology~teacher effectiveness~Trinidad and Tobago,Graduate School of Education
Frank Hauser,mechanical engineering,Department of Mechanical Engineering
Frank Werblin,retina~biological image processing~visual neuroscience,Department of Molecular &amp; Cell Biology
Franklin E. Zimring,deterrence~capital punishment~imprisonment~drug control,Boalt Hall School of Law
Fraydoun Rezakhanlou,mathematics~probability theory~partial differential equations,Department of Mathematics
Fred Wilt,molecular embryology; cell biology~the regulation of gene expression~of sea urchin embryos~blastomeres~endoskeletal spicule of the larva~glycoproteins~immunoelectron microscopy~fluorescent labeling,Department of Molecular &amp; Cell Biology
Frederic Theunissen,behavior~cognition~brain~psychology~birdsong~vocal learning~audition~neurophysiology~speech perception~computational neuroscience~theoretical neuroscience,Department of Psychology
Frederick C. Collignon,urban economics~metropolitan planning~city and regional planning~urban recreational space~passive recreational parkland~urban redevelopment~public assistance~disability,Department of City &amp; Regional Planning
Frederick Dolan,ethics~modernity~aesthetics~political theory~literature and politics~theories of interpretation~Continental philosophy~Nietzsche~Heidegger~Arendt~Foucault~American political discourse~aesthetics and politics,Department of Rhetoric
Frederick M. Etzel,land use planning and regulation,Department of City &amp; Regional Planning
Friedrich Sommer,Bayesian methods~information theory~memory~sensory processing~visual system,Helen Wills Neuroscience Institute
G. Cristina Mora,classification~organizations~race and ethnicity~Latino Migration,Department of Sociology
G. Mathias Kondolf,ecological restoration~landscape architecture~environmental planning~fluvial geomorphology~hydrology~environmental geology~environmental impact assessment~riparian zone management,Landscape Architecture &amp; Environmental Planning
G. Steven Martin,cell biology~signal transduction pathways~tumor virology~cell division cycle~viral and cellular oncoproteins~breast cancer,Department of Molecular &amp; Cell Biology
G. Ugo Nwokeji,Atlantic slave trade~historical demography~African history and political economy~oil and gas policy.,Department of African American Studies
Gabor A. Somorjai,physical chemistry~catalysis~surface science~low-energy electron diffraction~solid state chemistry~macroscopic surface phenomena~adhesion~lubrication~biocompatibility~bonding~and reactivity at solid surfaces~scanning tunneling,Department of Chemistry
Gabriel Lenz,American politics~elections~voter behavior~democratic accountability~campaigns,Department of Industrial Engineering &amp; Operations Research
Gabriel Orebi Gann,particle physics,Department of Physics
Gail S. Brager,architecture~comfort and adaptation in buildings~design and performance of offices,Department of Architecture
Galen Cranz,architecture~sociology of space~urban parks~Alexander Technique~chairs~ergonomics~somatics~body conscious design~social research methods for architecture and urban design~ethnography~programming~post occupancy evaluation and assessment~sociology of taste~housing for the elderly,Department of Architecture
Ganesh Iyer,coordination and contractual issues~distribution channels~supply chains retail competition~retailing institutions~internet institutions~competition markets for information and innovations,Haas School of Business
Garrison Sposito,coordination chemistry~physical geochemistry~surface chemistry~simulation of aqueous transport,"Department of Civil and Environmental Engineering~Department of Environmental Science, Policy &amp; Management"
Gary B. Holland,historical linguistics~Indo-European linguistics~poetics~early Indo-European languages~linguistic typology~historical syntax~history of linguistics,Department of Linguistics
Gary Firestone,cancer~steroid hormones~molecular endocrinology~tumor biology~growth factors~dietary compounds~tumor cells~glucocorticoids,Department of Molecular &amp; Cell Biology
Gary Karpen,gene expression~cell biology~chromosome structure and function~drosophila melanogaster~centromere identity and function,Department of Molecular &amp; Cell Biology
Gautam Premnath,postcolonial theory~nationalism~Anglophone literatures (especially from South Asia and the Caribbean)~twentieth-century British literature and culture~transnationalism and diaspora,Department of English
Gavriel Moses,violence~body~comparative literature~Italian studies~film studies~English literatures~philology~film making~Italian cinema history &amp; genres~auteur effects in Antonioni Kieslowski &amp; Rohmer~cultural objects in cinema~novels on film~love,Department of Film and Media
Genaro Padilla,American literature~Chicano/Latino literary and cultural studies~American autobiography,Department of English
Genevieve Ames,anthropology of health~healing~substance abuse~quantitative and qualitative methods~social organization theory,Department of Anthropology~School of Public Health
Geoffrey B. Saxe,U.S.~developmental psychology~interplay between culture and cognitive development~mathematical cognition in children~Papua New Guinea~urban and rural areas of Northeastern Brazil~elementary school classrooms~cognitive development~mathematics education,Graduate School of Education
Geoffrey Bower,black holes~transient radio sources~radio instrumentation and techniques~astrometry~exoplanets,Department of Astronomy
Geoffrey Chew,physics,Department of Physics
Geoffrey Lee,metaphysics~philosophy of mind~foundations of cognitive science,Department of Philosophy
Geoffrey O&#039;Brien,modernism~Creative Writing~20th and 21st century poetry and poetics,Department of English
George A. Akerlof,economics~macroeconomics~poverty~family problems~crime~discrimination~monetary policy~German unification,Department of Physics~Haas School of Business
George A. Brooks,exercise &amp; environmental physiology~metabolism~lactate shuttle~crossover concept~lactate~lactic acidosis~traumatic brain injury~obesity~diabetes~the Warburg Effect in cancer~aging biology~isotope tracer technology~arterial-venous difference measurements~clamp technology~muscle biopsies~cell culture~mitochondrial biogenesis~energy substrate partitioning~carbohydrate metabolism~lipid metabolism~fatty acid reesterification~menopause,Department of Integrative Biology
George A. Cooper,novel drilling methods~drill bit design~borehole stability~cryogenic drilling~diamond tooth wear; electro-osmosis to reduce bit balling,Department of Civil and Environmental Engineering
George Bentley,hormones and behavior~neuroendocrinology of reproduction,Department of Integrative Biology
George Breslauer,political science~comparative politics~Soviet and post-Soviet Russia~Russian politics~foreign relations~political leadership,Department of Political Science
George C. Johnson,x-rays~plasticity~elasticity~instrumentation~sensors~acoustoelasticity~materials behavior~materials characterization~texture analysis~thin shells deformation~ultrasonic stress analysis,Department of Mechanical Engineering
George Chang,microbial biology~health and nutrition~food safety,Department of Nutritional Sciences &amp; Toxicology
George F. Smoot,cosmology~physics~astrophysics experiments~observational astrophysics~observing our galaxy~the cosmic background radiation~ground-based radio-telescope observations~balloon-borne instrumentation~satellite experiments~the NASA cosmic background,Department of Physics
George H. Brimhall,earth and planetary sciences~geology~ore-forming processes~mineral exploration science~non-renewable resource issues~photo-voltaic semi-conductor resources,Department of Earth and Planetary Science
George L. Hart,South and Southeast Asian studies~Tamil studies~classical Sanskrit~South Indian religion and culture~Indian civilization~Indian literature~Indian religion,Department of South and Southeast Asian Studies
George Leitmann,economics~planning~dynamics systems~control theory~optimal control~dynamic games~&amp; robust control~applications engineering~mechanical systems~business administrations~biological systems,Department of Mechanical Engineering
George M. Bergman,mathematics~associative rings~universal algebra~category theory~counterexamples,Department of Mathematics
George Necula,software engineering~programming systemsm~security~program analysis,Division of Computer Science/EECS
George Oster,computational biology~developmental biology~mathematical modeling of molecular and cellular systems~protein motors~cell motility~spatial pattern formation in eukaryotic and prokaryotic cells~neural pattern formation,"Department of Molecular &amp; Cell Biology~Environmental Science, Policy &amp; Management"
George P. Lakoff,mathematics~literature~philosophy~cognitive linguistics~the neural theory of language~conceptual systems~conceptual metaphor~syntax-semantics-pragmatics~the application of cognitive linguistics to politics,Department of Linguistics
George Roderick,conservation~climate change~population genetics~biodiversity~invasive species,"Environmental Science, Policy &amp; Management"
George Sensabaugh,molecular epidemiology~microbial population genetics~forensic science~forensic biology,School of Public Health
George Starr,18th-century English literary~social and intellectual history; prose style; bibliography and textual criticism~literature of California and the west,Department of English
George Strauss,business,Haas School of Business
George Trilling,physics,Department of Physics
Georjana Barnes,biochemistry~genetics~cancer~biology~microtubule cytoskeleton~cell cycle controls~cellular imaging,Department of Molecular &amp; Cell Biology~Haas School of Business
Gerald Rubin,molecular genetics~molecular neurobiology~mapping and sequencing of the drosophila genome~genome organization and function~development and evolution,Department of Molecular &amp; Cell Biology
Gerald Westheimer,neurobiology; psychophysics~primate visual cortex~neural circuits~brain mechanisms~response modifications~active perception~learning~stereoscopic vision~optometryoptics of the eye~ophthalmic instrumentation,Department of Molecular &amp; Cell Biology
Gertrude Buehring,public health~use of cells in breast fluids for diagnostic purposes~viruses and human cancer~role of bovine leukemia virus in causing human breast cancer,School of Public Health
Gian Garriga,developmental neurobiology; molecular genetics~development of nervous systems~cell division~cell migration~axonal pathfinding~caenorhabditis elegans,Department of Molecular &amp; Cell Biology
Gibor Basri,astronomy~low mass stars~brown dwarfs~star formation~T Tauri stars~stellar magnetic activity~starspots,Department of Astronomy
Giovanni R. F. Ferrari,classics~ancient philosophy~Greek culture~ancient poetics and rhetoric,Department of Classics
Gladys Block,nutrient status~disease relationships~dietary methods~oxidation and antioxidants,Department of Nutritional Sciences &amp; Toxicology
Glenn A. Woroch,economics~privacy~telecommunications policy~antitrust policy~intellectual property protection,Department of Economics
Gloria Brar,meiosis~translation~sORFs~stress responses,Department of Molecular &amp; Cell Biology
Glynda Hull,language~culture~society~education~literacy~writing in and out of schools~multi-media technology~new literacies~adult learning~work~and community~school~university collaborations,Graduate School of Education
Goodwin Liu,constitutional law~education law &amp; policy~civil rights law,Boalt Hall School of Law
Gordon Rausser,biotechnology~environmental policy~resource economics~regulatory policy~bargaining and negotiation theory~futures and options markets~industrial organization and antitrust analysis,Department of Agricultural &amp; Resource Economics
Gordon W. Frankie,policy~environmental policy~environmental science~pest management~&amp;amp;amp; management,"Environmental Science, Policy &amp; Management"
Grace D O&#039;Connell,tissue engineering~biomechanics~intervertebral disc~cartilage,Department of Mechanical Engineering
Graham H. Powell,bridges~earthquake engineering~computing~buidings,Department of Civil and Environmental Engineering
Graham R. Fleming,chemistry~proteins~chemical and biological dynamics in the condensed phase~ultrafast spectroscopy~body dynamics~liquids~solutions~glasses~photosynthetic proteins~role of solvents in chemical reactions~complex electric fields~electron transfer,Department of Chemistry
Greg Niemeyer,art~film studies~digital media installations~photography,Department of Art Practice
Gregory Barton,immunology~cell biology~infectious disease~innate immunity,Department of Molecular &amp; Cell Biology
Gregory Grossman,economics~transition economies~the American desert,Department of Economics
Gregory P. A. Levine,East Asian studies~history of art~Japanese art and architecture~histories of collecting~history of museums~Buddhist art and architecture~Buddhist visual culture,Department of History of Art
Gregory S. Biging,forest biometrics~modeling and remote sensing,"Environmental Science, Policy &amp; Management"
Gregory W. Aponte,health and nutrition~nutritional sciences~signaling between the gut and the brain~neuropeptides~G-protein coupled receptors,Department of Nutritional Sciences &amp; Toxicology
Guitty Azarpay,art and archaeology of the ancient Near East and Central Asia,Department of Near Eastern Studies
Gunilla Haegerstrom-Portnoy,optometry~vision science~clinical psychophysics~color vision and color vision defects~vision and aging~children&amp;amp;#039;s vision~achromatopsia~electrodiagnostics,School of Optometry
Guy Micco,aging/old age~suffering~and death~the medical humanities,School of Public Health
GÃ©rard Roland,Institutions and development~culture and economics~political institutions and economic outcomes~European Parliament and European institutions~reforms in China/North Korea/Eastern Europe,Department of Economics
H. Frank Morrison,applied geophysics~electromagnetic methods~electrical properties of rocks~soils~field surveys and interpretation,Department of Earth and Planetary Science~Department of Civil and Environmental Engineering
H. Glenn Ballard,lean construction~design management~performance and productivity improvement,Department of Civil and Environmental Engineering
H. Mack Horton,performativity~east asian languages and cultures~classical poetry~diary literature~cultural context~anthology of vernacular poetry~Man&#039;yÃ´shÃ»~poetry and poetics,Department of East Asian Languages and Cultures
Haiyan Huang,applied statistics~functional genomics~translational bioinformatics~high dimensional and integrative genomic/genetic data analysis~network modeling~hierarchical multi-lable classification,Department of Statistics
Hal R. Varian,business~economics~information management~economics of information,Department of Economics~Haas School of Business~School of Information
Han Lim,genome organization~small RNA~genetic switches~epigenetics~systems biology~synthetic biology,Department of Integrative Biology
Hannah Ginsborg,philosophy~Kant and on Kantian themes in contemporary epistemology and philosophy of mind,Department of Philosophy
Hans Sluga,political philosophy~recent European philosophy~history of analytic philosophy~Frege~Wittgenstein~Foucault,Department of Philosophy~Department of Rhetoric
Hans-Rudolf Wenk,crystallography~earth &amp; planetary science~structural geology &amp; rock deformation~seismic anisotropy~investigating development of preferred orientation under expreme conditions using neutron diffraction~synchrotron x-rays~&amp; electron microscopy,Department of Earth and Planetary Science
Hari Dharan,mechanical behavior~composite materials structures~manufacturing processes,Department of Mechanical Engineering
Harley Shaiken,Mexico~labor~globalization~education~United States~geography~work organization~issues of economic and political integration in the Americas~information technology~skill,Graduate School of Education
Harrison S. Fraker,urban design~architecture~environmental design~passive solar~daylighting~sustainable design~sustainable systems~urban design principles~transit oriented neighborhoods,Department of Architecture
Harry N. Scheiber,American legal history~ocean law and policy~Law of the Sea (international law)~federalism and state-federal relations~American constitutional development,Department of History
Harry Rubin,tumor biology~cell biology~regulation of neoplastic development~epithelial cells~oncogenic mutations~tumor development~RNA and DNA tumor viruses,Department of Molecular &amp; Cell Biology
Harsha Ram,Russian and European romanticism and modernism~Russian and European avant-gardes~Russian~European~Near Eastern and South Asian poetic traditions~Indian literature~Italian literature~Georgian history and literature~theories of world literature~literary theory~comparative poetics~genre theory~literary history~comparative modernisms and modernities~vernacular and high culture~cultural and political history of Russia-Eurasia and the Caucasus~postcolonial studies~theories of nationalism~imperialism and cosmopolitanism~the city and literature.,Department of Comparative Literature~Department of Slavic Languages and Literatures
Hartmut Haeffner,quantum information and computation~precision measurements~ion traps~quantum state engineering~decoherence~quantum simulations~quantum energy transport~quantum chaos~cryogenic electronics,Department of Physics
Harvey W. Blanch,biotechnology~chemical engineering~biochemical engineering~biofuels~protein interactions~DNAelectrophoresis~Mammalian Cell Metabolism~applied enzymology~bioproduct recovery,Department of Chemical Engineering
Hatem Bazian,Near Eastern studies,Department of Near Eastern Studies
Hayden Taylor,manufacturing~microfabrication~nanofabrication~semiconductor manufacturing~computational mechanics~nanoimprint lithography,Department of Mechanical Engineering
Hayne Leland,structural modeling of credit risk~optimal leverage and agency costs~investment strategies~performance measurement: beyond mean-variance analysis,Haas School of Business
Heather Haveman,organizations~economic sociology~entrepreneurship~China~careers and social mobility~gender~social history,Department of Sociology
Hector Rodriguez,organizational influences on the quality of ambulatory care~interprofessional primary care team approaches and continuity of care~ambulatory care performance measurement and improvement~local public health system effectiveness,School of Public Health
Hei Sook Sul,plant biology~health and nutrition~nutritional sciences &amp; toxicology,Department of Nutritional Sciences &amp; Toxicology
Heinrich Mintrop,educational equity~policy analysis and evaluation~urban leadership~urban schooling~achievement issues~international education~leadership~principalship~school culture,Graduate School of Education
Heinz O. Cordes,mathematics~classical analysis,Department of Mathematics
Helen Bateup,molecular and cellular neuroscience~neurodevelopmental disorders~autism~epilepsy,Department of Molecular &amp; Cell Biology~Helen Wills Neuroscience Institute
Helen Halpin,public health~health policy and management~health services &amp; policy analysis,School of Public Health
Henk Roelink,stem cells~neural development~embryonic induction,Department of Molecular &amp; Cell Biology
Henrik Scheller,biofuels~polysaccharides~plant cell walls~biochemistry~plant biotechnology~glycosylation,Department of Plant and Microbial Biology
Henry Brady,comparative politics~public policy~electoral politics~political participation~survey research~program evaluation~statistical methods in the social sciences~social welfare policy~Soviet Union~inequality in America,Goldman School of Public Policy
Henry Chesbrough,innovation~internal and external research and development~technology-based spinoffs~corporate venture capital~managing intellectual property~comparative industry evolution,Haas School of Business
Herbert L. Strauss,vibrational spectroscopy~fluxional molecules~infrared~Raman and neutron spectroscopy,Department of Chemistry
Herbert Steiner,physics~particle experiments~experimental particle physics~high energy fission~experiments with antiprotons~pion-nuleon and nucleon -nucleon scattering with polarized targets~pi-N phase shift analyses~the spin and intrinsic parity of hyperons,Department of Physics
Herma H. Kay,family law~conflict of laws~sex-based discrimination~California marital property,Boalt Hall School of Law
Hertha Sweet Wong,English~American literature~native American literature~autobiography~ethnic American literature,Department of English
Hilary Hoynes,poverty~inequality~economic policy~Social Safety Net~labor economics,Department of Economics~Goldman School of Public Policy
Hinrich C. Seeba,18th 20th century German literature &amp; culture~intellectual &amp; institutional~enlightenment~Napoleonic era~vormÃ¤rz~concepts &amp; images history~role language nationalism~contemporary trends German literature~representations urban space,Department of German
Hiroshi Nikaido,membrane biochemistry~bacterial physiology~bacteria~channel-forming proteins of the outer membrane~the diffusion of lipophilic compounds~mechanism and regulation of multidrug efflux transport systems~mycobacterial cell wall,Department of Molecular &amp; Cell Biology
Hitoshi Murayama,physics~particle physics~the universe~fundamental constituents of matter~Higgs boson~anti-matter~neutrino oscillations~finite value of the cosmological constant~triple coincidence of energy densities,Department of Physics
Holger Mueller,atomic~molecular~and optical physics,Department of Physics
Holly Doremus,environmental law~natural resource law~law and science~biodiversity conservation~public and private land management,Boalt Hall School of Law
Homayoon Kazerooni,robotics~bioengineering~design~control systems~mechatronics~automated manufacturing~human-machine systems,Department of Mechanical Engineering
Hong Yung Lee,political science~East Asian studies,Department of Political Science
Howard Schachman,physical biochemistry~biological macromolecules~aspartate transcarbamylase~revisiting allostery~holoenzyme~mutations~polypeptide chains~helical regions,Department of Molecular &amp; Cell Biology
Howard Shugart,physics,Department of Physics
Hsieh Wen Shen,fluvial hydraulics~environmental river mechanics~basic sediment transport,Department of Statistics~Division of Computer Science/EECS
Hubert Dreyfus,phenomenology~philosophy~existentialism~philosophy of psychology~philosophy of literature,Department of Philosophy
Hugh McLean,Slavic languages and literatures~prose fiction of the 19th century (Gogol~Tolstoy; Kushchevskij~Leskov~Chekhov)~Zoshchenko~and poetry (Majakovskij),Department of Slavic Languages and Literatures
Hugh Richmond,Shakespeare~Theatre~Comparative Literature (European),Department of English
Hung-Hsi Wu,real and complex geometry~school mathematics education,Department of Mathematics
Hyron Spinrad,galactic evolution~physical constitution of comets~evolution of radio galaxies~normal galaxies~reduction of two-dimensional CCD spectra~cometary constitution,Department of Astronomy
Ian Bailey,low vision~visual ergonomics~clinical optics~optometry.,School of Optometry
Ian Duncan,English~the novel~British literature 1750-1900~Scottish literature~history and theory of fiction~Scottish enlightenment/romanticism~Scott~literature and the human sciences~Darwin,Department of English
Ian F. Haney Lopez,constitutional law~race relations~civil rights~Latinos,Boalt Hall School of Law
Ian Holmes,computational biology,Department of Bioengineering
Ian Maddieson,linguistics~phonetic and phonological universals~articulatory and acoustic phonetics~African~Austronesian~South-East Asian and Sino-Tibetan languages,Department of Linguistics
Ignacio Chapela,agriculture~biotechnology~environmental science~microbial biology~policy and management,"Department of Environmental Science, Policy &amp; Management"
Ignacio Navarrete,Spanish literature: poetry~poetic theory~narrative and culture~history of the book~Cervantes~Don Quixote~Medieval and Early Modern Spanish literature. Modern Spain.,Department of Spanish and Portuguese
"Ignacio Tinoco, Jr.",biophysical chemistry~NMR~nucleic acids~structures of nucleic acids~RNA loops~RNA viruses~the catalytic abilities of RNA enzymes~multidimensional nuclear magnetic resonance measurements~chemical and enzymatic probing of RNA~single molecules,Department of Chemistry
Igor Grigoriev,genomics~fungi~algae~eukaryotes~computational biology~bioinformatics~genome annotation,Department of Plant and Microbial Biology
Ikhlaq Sidhu,technology management~industrial engineering and operations~technology commerialization~interdisciplinary engineering,Department of Industrial Engineering &amp; Operations Research
Ilan Adler,financial engineering~optimization theory~combinatorial probability models,Department of Industrial Engineering &amp; Operations Research
Imke de Pater,radio~planetary science~infrared~observations,Department of Astronomy~Department of Earth and Planetary Science
Inez Fung,global change~environmental policy~ecosystem scienes,"Department of Earth and Planetary Science~Department of Environmental Science, Policy &amp; Management"
Ingrid Seyer-Ochi,anthropology~language~culture~society~education~literacy~families~neighborhoods~history of education~community organizations as educative institutions~relationships among school and beyond-school learning contexts~urban education,Graduate School of Education
Ion Stoica,networking and distributed computer systems~quality of service (Q of S) and resources management~modeling and performance analysis,Division of Computer Science/EECS
Ira Tager,aging~public health~epidemiology~biostatistics~maternal &amp; child health~environmental health sciences,School of Public Health
Irene Bloemraad,immigration~social movements~political sociology~multiculturalism~race &amp; ethnicity~Canada~non-profit organizations~research methods,Department of Sociology
Irfan Siddiqi,condensed matter physics~superconducting qubits~quantum limited amplifiers~quantum circuits,Department of Physics
Irina Conboy,stem cell niche engineering~tissue repair~stem cell aging and rejuvenation,Department of Bioengineering
Irina Paperno,Russian language and literature~intellectual history,Department of Slavic Languages and Literatures
Iris D. Tommelein,lean construction~lean production~design management~sustainability~supply-chain management~life-cycle engineering~civil infrastructure systems~adaptive project leadership~megaproject delivery~construction process engineering~integrated project delivery IPD~building information modeling BIM~virtual design and construction VDC.,Department of Civil and Environmental Engineering
Iris Mauss,social psychology~personality psychology~affective science~psychophysiology~individual differences~emotion~emotion regulation~health psychology~happiness~well-being~psychological health,Department of Psychology
Irmengard Rauch,semiotics~Germanic linguistics~linguistic archeology~paralanguage~Old Saxon~Old Frisian~linguistic fieldwork~socio-cultural and cognitive approaches to language variation and language change~contrastive analysis and linguistic methodology~Gothic~Modern High German and its dialects~Old/Middle High/Early New High German,Department of German
Irving Zucker,biological rhythms~seasonality~behavioral endocrinology~melatonin~suprachiasmatic nucleus~reproductive physiology~behavior~ultradian rhythms~sex differences,Department of Integrative Biology~Department of Psychology
Isadore M. Singer,mathematics~physics~partial differential equations~geometry,Department of Mathematics
